pib,municipio,cod_mun,ano
1046343,Alta Floresta D'Oeste,1100015,2023
4383815,Ariquemes,1100023,2023
300832,Cabixi,1100031,2023
3848468,Cacoal,1100049,2023
1006389,Cerejeiras,1100056,2023
580899,Colorado do Oeste,1100064,2023
509566,Corumbiara,1100072,2023
413943,Costa Marques,1100080,2023
1023973,Espigão D'Oeste,1100098,2023
1145034,Guajará,1100106,2023
2515558,Jaru,1100114,2023
5824472,Ji,1100122,2023
1055806,Machadinho D'Oeste,1100130,2023
731952,Nova Brasilândia D'Oeste,1100148,2023
1275479,Ouro Preto do Oeste,1100155,2023
2124340,Pimenta Bueno,1100189,2023
25402193,Porto Velho,1100205,2023
776281,Presidente Médici,1100254,2023
265160,Rio Crespo,1100262,2023
2287631,Rolim de Moura,1100288,2023
291887,Santa Luzia D'Oeste,1100296,2023
5115785,Vilhena,1100304,2023
1549192,São Miguel do Guaporé,1100320,2023
1060566,Nova Mamoré,1100338,2023
486626,Alvorada D'Oeste,1100346,2023
575129,Alto Alegre dos Parecis,1100379,2023
667923,Alto Paraíso,1100403,2023
1221008,Buritis,1100452,2023
331958,Novo Horizonte do Oeste,1100502,2023
238989,Cacaulândia,1100601,2023
455251,Campo Novo de Rondônia,1100700,2023
1001610,Candeias do Jamari,1100809,2023
138594,Castanheiras,1100908,2023
673990,Chupinguaia,1100924,2023
582148,Cujubim,1100940,2023
320123,Governador Jorge Teixeira,1101005,2023
340162,Itapuã do Oeste,1101104,2023
440282,Ministro Andreazza,1101203,2023
380179,Mirante da Serra,1101302,2023
526990,Monte Negro,1101401,2023
193557,Nova União,1101435,2023
201510,Parecis,1101450,2023
355185,Pimenteiras do Oeste,1101468,2023
131193,Primavera de Rondônia,1101476,2023
177906,São Felipe D'Oeste,1101484,2023
716411,São Francisco do Guaporé,1101492,2023
446997,Seringueiras,1101500,2023
156426,Teixeirópolis,1101559,2023
307754,Theobroma,1101609,2023
370214,Urupá,1101708,2023
257311,Vale do Anari,1101757,2023
225187,Vale do Paraíso,1101807,2023
502663,Acrelândia,1200013,2023
187366,Assis Brasil,1200054,2023
929800,Brasiléia,1200104,2023
365419,Bujari,1200138,2023
530657,Capixaba,1200179,2023
2680143,Cruzeiro do Sul,1200203,2023
793427,Epitaciolândia,1200252,2023
741344,Feijó,1200302,2023
150648,Jordão,1200328,2023
339224,Mâncio Lima,1200336,2023
262614,Manoel Urbano,1200344,2023
288045,Marechal Thaumaturgo,1200351,2023
764818,Plácido de Castro,1200385,2023
200512,Porto Walter,1200393,2023
12960966,Rio Branco,1200401,2023
293645,Rodrigues Alves,1200427,2023
124070,Santa Rosa do Purus,1200435,2023
1111821,Senador Guiomard,1200450,2023
972648,Sena Madureira,1200500,2023
932080,Tarauacá,1200609,2023
626026,Xapuri,1200708,2023
533386,Porto Acre,1200807,2023
242584,Alvarães,1300029,2023
134732,Amaturá,1300060,2023
154694,Anamã,1300086,2023
297171,Anori,1300102,2023
386133,Apuí,1300144,2023
206769,Atalaia do Norte,1300201,2023
584990,Autazes,1300300,2023
242100,Barcelos,1300409,2023
398068,Barreirinha,1300508,2023
469445,Benjamin Constant,1300607,2023
262121,Beruri,1300631,2023
243779,Boa Vista do Ramos,1300680,2023
661735,Boca do Acre,1300706,2023
435684,Borba,1300805,2023
219112,Caapiranga,1300839,2023
208247,Canutama,1300904,2023
433322,Carauari,1301001,2023
436682,Careiro,1301100,2023
418938,Careiro da Várzea,1301159,2023
3893679,Coari,1301209,2023
637713,Codajás,1301308,2023
683640,Eirunepé,1301407,2023
236124,Envira,1301506,2023
324329,Fonte Boa,1301605,2023
184646,Guajará,1301654,2023
926065,Humaitá,1301704,2023
247844,Ipixuna,1301803,2023
1263496,Iranduba,1301852,2023
3321936,Itacoatiara,1301902,2023
161777,Itamarati,1301951,2023
196557,Itapiranga,1302009,2023
145337,Japurá,1302108,2023
147950,Juruá,1302207,2023
394550,Jutaí,1302306,2023
742982,Lábrea,1302405,2023
1917413,Manacapuru,1302504,2023
303947,Manaquiri,1302553,2023
127649795,Manaus,1302603,2023
926410,Manicoré,1302702,2023
202680,Maraã,1302801,2023
695907,Maués,1302900,2023
239731,Nhamundá,1303007,2023
354693,Nova Olinda do Norte,1303106,2023
243316,Novo Airão,1303205,2023
311737,Novo Aripuanã,1303304,2023
1656949,Parintins,1303403,2023
237839,Pauini,1303502,2023
730303,Presidente Figueiredo,1303536,2023
495858,Rio Preto da Eva,1303569,2023
197857,Santa Isabel do Rio Negro,1303601,2023
354277,Santo Antônio do Içá,1303700,2023
584409,São Gabriel da Cachoeira,1303809,2023
358400,São Paulo de Olivença,1303908,2023
145515,São Sebastião do Uatumã,1303957,2023
434235,Silves,1304005,2023
849681,Tabatinga,1304062,2023
318010,Tapauá,1304104,2023
1619517,Tefé,1304203,2023
214602,Tonantins,1304237,2023
265246,Uarini,1304260,2023
244547,Urucará,1304302,2023
297173,Urucurituba,1304401,2023
329100,Amajari,1400027,2023
802540,Alto Alegre,1400050,2023
18234169,Boa Vista,1400100,2023
772903,Bonfim,1400159,2023
498394,Cantá,1400175,2023
637454,Caracaraí,1400209,2023
317377,Caroebe,1400233,2023
279559,Iracema,1400282,2023
552044,Mucajaí,1400308,2023
370956,Normandia,1400407,2023
447421,Pacaraima,1400456,2023
981040,Rorainópolis,1400472,2023
425809,São João da Baliza,1400506,2023
221585,São Luiz,1400605,2023
254453,Uiramutã,1400704,2023
2441092,Abaetetuba,1500107,2023
131077,Abel Figueiredo,1500131,2023
2111467,Acará,1500206,2023
665557,Afuá,1500305,2023
1047226,Água Azul do Norte,1500347,2023
1578584,Alenquer,1500404,2023
593847,Almeirim,1500503,2023
3887894,Altamira,1500602,2023
370838,Anajás,1500701,2023
11473897,Ananindeua,1500800,2023
715999,Anapu,1500859,2023
490157,Augusto Corrêa,1500909,2023
390415,Aurora do Pará,1500958,2023
228317,Aveiro,1501006,2023
329848,Bagre,1501105,2023
799363,Baião,1501204,2023
153995,Bannach,1501253,2023
9190033,Barcarena,1501303,2023
40536062,Belém,1501402,2023
352844,Belterra,1501451,2023
3338145,Benevides,1501501,2023
336974,Bom Jesus do Tocantins,1501576,2023
147258,Bonito,1501600,2023
1977330,Bragança,1501709,2023
517482,Brasil Novo,1501725,2023
143221,Brejo Grande do Araguaia,1501758,2023
802221,Breu Branco,1501782,2023
1515250,Breves,1501808,2023
688320,Bujaru,1501907,2023
237908,Cachoeira do Piriá,1501956,2023
354702,Cachoeira do Arari,1502004,2023
1901553,Cametá,1502103,2023
16621560,Canaã dos Carajás,1502152,2023
1883282,Capanema,1502202,2023
900134,Capitão Poço,1502301,2023
6318091,Castanhal,1502400,2023
331190,Chaves,1502509,2023
136194,Colares,1502608,2023
985296,Conceição do Araguaia,1502707,2023
520832,Concórdia do Pará,1502756,2023
479032,Cumaru do Norte,1502764,2023
737806,Curionópolis,1502772,2023
396832,Curralinho,1502806,2023
192168,Curuá,1502855,2023
485458,Curuçá,1502905,2023
1332437,Dom Eliseu,1502939,2023
736064,Eldorado do Carajás,1502954,2023
102052,Faro,1503002,2023
657025,Floresta do Araguaia,1503044,2023
426847,Garrafão do Norte,1503077,2023
595811,Goianésia do Pará,1503093,2023
489497,Gurupá,1503101,2023
599286,Igarapé,1503200,2023
1021946,Igarapé,1503309,2023
230530,Inhangapi,1503408,2023
612707,Ipixuna do Pará,1503457,2023
377735,Irituia,1503507,2023
3806020,Itaituba,1503606,2023
979792,Itupiranga,1503705,2023
732418,Jacareacanga,1503754,2023
800237,Jacundá,1503804,2023
1184842,Juruti,1503903,2023
601991,Limoeiro do Ajuru,1504000,2023
488400,Mãe do Rio,1504059,2023
121851,Magalhães Barata,1504109,2023
9748965,Marabá,1504208,2023
361786,Maracanã,1504307,2023
333941,Marapanim,1504406,2023
2780522,Marituba,1504422,2023
1140469,Medicilândia,1504455,2023
347499,Melgaço,1504505,2023
480360,Mocajuba,1504604,2023
2156273,Moju,1504703,2023
457251,Mojuí dos Campos,1504752,2023
1227319,Monte Alegre,1504802,2023
464374,Muaná,1504901,2023
334512,Nova Esperança do Piriá,1504950,2023
231145,Nova Ipixuna,1504976,2023
185077,Nova Timboteua,1505007,2023
1541048,Novo Progresso,1505031,2023
1406400,Novo Repartimento,1505064,2023
921982,Óbidos,1505106,2023
535992,Oeiras do Pará,1505205,2023
1739412,Oriximiná,1505304,2023
279081,Ourém,1505403,2023
1053014,Ourilândia do Norte,1505437,2023
1114328,Pacajá,1505486,2023
127592,Palestina do Pará,1505494,2023
5308605,Paragominas,1505502,2023
26421067,Parauapebas,1505536,2023
153521,Pau D'Arco,1505551,2023
100657,Peixe,1505601,2023
361690,Piçarra,1505635,2023
491402,Placas,1505650,2023
313392,Ponta de Pedras,1505700,2023
1153540,Portel,1505809,2023
507177,Porto de Moz,1505908,2023
548886,Prainha,1506005,2023
564056,Primavera,1506104,2023
147129,Quatipuru,1506112,2023
3681706,Redenção,1506138,2023
1007363,Rio Maria,1506161,2023
1083239,Rondon do Pará,1506187,2023
605554,Rurópolis,1506195,2023
802287,Salinópolis,1506203,2023
270698,Salvaterra,1506302,2023
300184,Santa Bárbara do Pará,1506351,2023
115245,Santa Cruz do Arari,1506401,2023
1828145,Santa Izabel do Pará,1506500,2023
258360,Santa Luzia do Pará,1506559,2023
943386,Santa Maria das Barreiras,1506583,2023
570081,Santa Maria do Pará,1506609,2023
1978254,Santana do Araguaia,1506708,2023
8681869,Santarém,1506807,2023
81217,Santarém Novo,1506906,2023
687291,Santo Antônio do Tauá,1507003,2023
241829,São Caetano de Odivelas,1507102,2023
490029,São Domingos do Araguaia,1507151,2023
654079,São Domingos do Capim,1507201,2023
2352014,São Félix do Xingu,1507300,2023
359790,São Francisco do Pará,1507409,2023
1028625,São Geraldo do Araguaia,1507458,2023
79287,São João da Ponta,1507466,2023
232878,São João de Pirabas,1507474,2023
235495,São João do Araguaia,1507508,2023
1132578,São Miguel do Guamá,1507607,2023
309743,São Sebastião da Boa Vista,1507706,2023
172700,Sapucaia,1507755,2023
341244,Senador José Porfírio,1507805,2023
338748,Soure,1507904,2023
2023568,Tailândia,1507953,2023
114731,Terra Alta,1507961,2023
590339,Terra Santa,1507979,2023
1746483,Tomé,1508001,2023
391638,Tracuateua,1508035,2023
454558,Trairão,1508050,2023
1347919,Tucumã,1508084,2023
5457108,Tucuruí,1508100,2023
2344285,Ulianópolis,1508126,2023
1057794,Uruará,1508159,2023
602141,Vigia,1508209,2023
869709,Viseu,1508308,2023
3987037,Vitória do Xingu,1508357,2023
2321585,Xinguara,1508407,2023
126544,Serra do Navio,1600055,2023
219045,Amapá,1600105,2023
375827,Pedra Branca do Amapari,1600154,2023
295401,Calçoene,1600204,2023
115359,Cutias,1600212,2023
557990,Ferreira Gomes,1600238,2023
132723,Itaubal,1600253,2023
1335225,Laranjal do Jari,1600279,2023
18470858,Macapá,1600303,2023
583553,Mazagão,1600402,2023
820364,Oiapoque,1600501,2023
527655,Porto Grande,1600535,2023
101033,Pracuúba,1600550,2023
3725688,Santana,1600600,2023
329305,Tartarugalzinho,1600709,2023
303549,Vitória do Jari,1600808,2023
141930,Abreulândia,1700251,2023
226238,Aguiarnópolis,1700301,2023
423070,Aliança do Tocantins,1700350,2023
336120,Almas,1700400,2023
886077,Alvorada,1700707,2023
199526,Ananás,1701002,2023
54433,Angico,1701051,2023
283247,Aparecida do Rio Negro,1701101,2023
113908,Aragominas,1701309,2023
411911,Araguacema,1701903,2023
474483,Araguaçu,1702000,2023
