pib,municipio,cod_mun,ano
734469,Alta Floresta D'Oeste,1100015,2021
3209761,Ariquemes,1100023,2021
238412,Cabixi,1100031,2021
2792383,Cacoal,1100049,2021
743037,Cerejeiras,1100056,2021
424807,Colorado do Oeste,1100064,2021
396728,Corumbiara,1100072,2021
316671,Costa Marques,1100080,2021
773381,Espigão D'Oeste,1100098,2021
1054179,Guajará,1100106,2021
1765089,Jaru,1100114,2021
4231113,Ji,1100122,2021
890320,Machadinho D'Oeste,1100130,2021
548734,Nova Brasilândia D'Oeste,1100148,2021
985868,Ouro Preto do Oeste,1100155,2021
1642516,Pimenta Bueno,1100189,2021
20059522,Porto Velho,1100205,2021
559990,Presidente Médici,1100254,2021
184430,Rio Crespo,1100262,2021
1565194,Rolim de Moura,1100288,2021
213556,Santa Luzia D'Oeste,1100296,2021
4215046,Vilhena,1100304,2021
905335,São Miguel do Guaporé,1100320,2021
742687,Nova Mamoré,1100338,2021
352628,Alvorada D'Oeste,1100346,2021
483672,Alto Alegre dos Parecis,1100379,2021
510361,Alto Paraíso,1100403,2021
966552,Buritis,1100452,2021
231502,Novo Horizonte do Oeste,1100502,2021
275338,Cacaulândia,1100601,2021
369377,Campo Novo de Rondônia,1100700,2021
655606,Candeias do Jamari,1100809,2021
99627,Castanheiras,1100908,2021
468793,Chupinguaia,1100924,2021
487480,Cujubim,1100940,2021
239330,Governador Jorge Teixeira,1101005,2021
210031,Itapuã do Oeste,1101104,2021
297878,Ministro Andreazza,1101203,2021
262640,Mirante da Serra,1101302,2021
389891,Monte Negro,1101401,2021
157321,Nova União,1101435,2021
155434,Parecis,1101450,2021
246209,Pimenteiras do Oeste,1101468,2021
107030,Primavera de Rondônia,1101476,2021
130676,São Felipe D'Oeste,1101484,2021
488043,São Francisco do Guaporé,1101492,2021
332987,Seringueiras,1101500,2021
121301,Teixeirópolis,1101559,2021
257426,Theobroma,1101609,2021
273501,Urupá,1101708,2021
220588,Vale do Anari,1101757,2021
185648,Vale do Paraíso,1101807,2021
398725,Acrelândia,1200013,2021
133916,Assis Brasil,1200054,2021
685636,Brasiléia,1200104,2021
300830,Bujari,1200138,2021
512353,Capixaba,1200179,2021
2058630,Cruzeiro do Sul,1200203,2021
644542,Epitaciolândia,1200252,2021
567040,Feijó,1200302,2021
113975,Jordão,1200328,2021
269205,Mâncio Lima,1200336,2021
184904,Manoel Urbano,1200344,2021
256865,Marechal Thaumaturgo,1200351,2021
601471,Plácido de Castro,1200385,2021
160535,Porto Walter,1200393,2021
10955675,Rio Branco,1200401,2021
255649,Rodrigues Alves,1200427,2021
108545,Santa Rosa do Purus,1200435,2021
779672,Senador Guiomard,1200450,2021
748094,Sena Madureira,1200500,2021
711884,Tarauacá,1200609,2021
454981,Xapuri,1200708,2021
471315,Porto Acre,1200807,2021
217333,Alvarães,1300029,2021
118872,Amaturá,1300060,2021
138599,Anamã,1300086,2021
248435,Anori,1300102,2021
297810,Apuí,1300144,2021
184947,Atalaia do Norte,1300201,2021
506341,Autazes,1300300,2021
245622,Barcelos,1300409,2021
344890,Barreirinha,1300508,2021
388781,Benjamin Constant,1300607,2021
211871,Beruri,1300631,2021
182412,Boa Vista do Ramos,1300680,2021
512796,Boca do Acre,1300706,2021
402131,Borba,1300805,2021
177894,Caapiranga,1300839,2021
154316,Canutama,1300904,2021
370657,Carauari,1301001,2021
395194,Careiro,1301100,2021
413374,Careiro da Várzea,1301159,2021
3380278,Coari,1301209,2021
531995,Codajás,1301308,2021
568039,Eirunepé,1301407,2021
215527,Envira,1301506,2021
222773,Fonte Boa,1301605,2021
177320,Guajará,1301654,2021
860168,Humaitá,1301704,2021
216519,Ipixuna,1301803,2021
1001862,Iranduba,1301852,2021
2350463,Itacoatiara,1301902,2021
135620,Itamarati,1301951,2021
152509,Itapiranga,1302009,2021
85809,Japurá,1302108,2021
138074,Juruá,1302207,2021
266377,Jutaí,1302306,2021
625199,Lábrea,1302405,2021
1544675,Manacapuru,1302504,2021
311335,Manaquiri,1302553,2021
103281436,Manaus,1302603,2021
686279,Manicoré,1302702,2021
176217,Maraã,1302801,2021
595827,Maués,1302900,2021
207005,Nhamundá,1303007,2021
341652,Nova Olinda do Norte,1303106,2021
186533,Novo Airão,1303205,2021
252422,Novo Aripuanã,1303304,2021
1426984,Parintins,1303403,2021
199541,Pauini,1303502,2021
1031905,Presidente Figueiredo,1303536,2021
407146,Rio Preto da Eva,1303569,2021
185817,Santa Isabel do Rio Negro,1303601,2021
237314,Santo Antônio do Içá,1303700,2021
423054,São Gabriel da Cachoeira,1303809,2021
334131,São Paulo de Olivença,1303908,2021
136609,São Sebastião do Uatumã,1303957,2021
175042,Silves,1304005,2021
758036,Tabatinga,1304062,2021
239944,Tapauá,1304104,2021
1098392,Tefé,1304203,2021
185410,Tonantins,1304237,2021
229209,Uarini,1304260,2021
205656,Urucará,1304302,2021
232661,Urucurituba,1304401,2021
240826,Amajari,1400027,2021
385507,Alto Alegre,1400050,2021
13493364,Boa Vista,1400100,2021
522405,Bonfim,1400159,2021
353071,Cantá,1400175,2021
453298,Caracaraí,1400209,2021
236788,Caroebe,1400233,2021
208477,Iracema,1400282,2021
393852,Mucajaí,1400308,2021
202859,Normandia,1400407,2021
329092,Pacaraima,1400456,2021
732356,Rorainópolis,1400472,2021
327768,São João da Baliza,1400506,2021
178972,São Luiz,1400605,2021
143945,Uiramutã,1400704,2021
1949341,Abaetetuba,1500107,2021
105496,Abel Figueiredo,1500131,2021
1433440,Acará,1500206,2021
444236,Afuá,1500305,2021
643132,Água Azul do Norte,1500347,2021
745403,Alenquer,1500404,2021
688370,Almeirim,1500503,2021
3120219,Altamira,1500602,2021
259020,Anajás,1500701,2021
8939830,Ananindeua,1500800,2021
588032,Anapu,1500859,2021
363771,Augusto Corrêa,1500909,2021
308633,Aurora do Pará,1500958,2021
151969,Aveiro,1501006,2021
250548,Bagre,1501105,2021
562147,Baião,1501204,2021
129007,Bannach,1501253,2021
9243937,Barcarena,1501303,2021
33467126,Belém,1501402,2021
237196,Belterra,1501451,2021
1986729,Benevides,1501501,2021
243883,Bom Jesus do Tocantins,1501576,2021
206682,Bonito,1501600,2021
1389573,Bragança,1501709,2021
379813,Brasil Novo,1501725,2021
115088,Brejo Grande do Araguaia,1501758,2021
794309,Breu Branco,1501782,2021
893933,Breves,1501808,2021
536730,Bujaru,1501907,2021
227634,Cachoeira do Piriá,1501956,2021
255830,Cachoeira do Arari,1502004,2021
1393690,Cametá,1502103,2021
34989610,Canaã dos Carajás,1502152,2021
1427144,Capanema,1502202,2021
615773,Capitão Poço,1502301,2021
4709312,Castanhal,1502400,2021
248270,Chaves,1502509,2021
100969,Colares,1502608,2021
662825,Conceição do Araguaia,1502707,2021
420236,Concórdia do Pará,1502756,2021
406927,Cumaru do Norte,1502764,2021
3667341,Curionópolis,1502772,2021
282512,Curralinho,1502806,2021
149717,Curuá,1502855,2021
369777,Curuçá,1502905,2021
940611,Dom Eliseu,1502939,2021
556042,Eldorado do Carajás,1502954,2021
76730,Faro,1503002,2021
602623,Floresta do Araguaia,1503044,2021
276033,Garrafão do Norte,1503077,2021
506638,Goianésia do Pará,1503093,2021
334287,Gurupá,1503101,2021
415894,Igarapé,1503200,2021
691233,Igarapé,1503309,2021
174628,Inhangapi,1503408,2021
625213,Ipixuna do Pará,1503457,2021
278006,Irituia,1503507,2021
3078558,Itaituba,1503606,2021
841956,Itupiranga,1503705,2021
625760,Jacareacanga,1503754,2021
615695,Jacundá,1503804,2021
1451756,Juruti,1503903,2021
503051,Limoeiro do Ajuru,1504000,2021
340311,Mãe do Rio,1504059,2021
98432,Magalhães Barata,1504109,2021
13523145,Marabá,1504208,2021
289997,Maracanã,1504307,2021
263657,Marapanim,1504406,2021
2578541,Marituba,1504422,2021
1023972,Medicilândia,1504455,2021
216855,Melgaço,1504505,2021
452082,Mocajuba,1504604,2021
1348481,Moju,1504703,2021
288644,Mojuí dos Campos,1504752,2021
807340,Monte Alegre,1504802,2021
338764,Muaná,1504901,2021
350842,Nova Esperança do Piriá,1504950,2021
192605,Nova Ipixuna,1504976,2021
147491,Nova Timboteua,1505007,2021
971539,Novo Progresso,1505031,2021
1117034,Novo Repartimento,1505064,2021
965930,Óbidos,1505106,2021
419077,Oeiras do Pará,1505205,2021
2278575,Oriximiná,1505304,2021
200629,Ourém,1505403,2021
1302429,Ourilândia do Norte,1505437,2021
867605,Pacajá,1505486,2021
98769,Palestina do Pará,1505494,2021
4280508,Paragominas,1505502,2021
49763040,Parauapebas,1505536,2021
114870,Pau D'Arco,1505551,2021
72327,Peixe,1505601,2021
292755,Piçarra,1505635,2021
323263,Placas,1505650,2021
275230,Ponta de Pedras,1505700,2021
945733,Portel,1505809,2021
404677,Porto de Moz,1505908,2021
442969,Prainha,1506005,2021
321726,Primavera,1506104,2021
120882,Quatipuru,1506112,2021
2552479,Redenção,1506138,2021
601872,Rio Maria,1506161,2021
734050,Rondon do Pará,1506187,2021
496837,Rurópolis,1506195,2021
641901,Salinópolis,1506203,2021
210371,Salvaterra,1506302,2021
240524,Santa Bárbara do Pará,1506351,2021
96043,Santa Cruz do Arari,1506401,2021
935129,Santa Izabel do Pará,1506500,2021
196168,Santa Luzia do Pará,1506559,2021
