pib,municipio,cod_mun,ano
734469,Alta Floresta D'Oeste - RO,1100015,2021
3209761,Ariquemes - RO,1100023,2021
238412,Cabixi - RO,1100031,2021
2792383,Cacoal - RO,1100049,2021
743037,Cerejeiras - RO,1100056,2021
424807,Colorado do Oeste - RO,1100064,2021
396728,Corumbiara - RO,1100072,2021
316671,Costa Marques - RO,1100080,2021
773381,Espigão D'Oeste - RO,1100098,2021
1054179,Guajará-Mirim - RO,1100106,2021
1765089,Jaru - RO,1100114,2021
4231113,Ji-Paraná - RO,1100122,2021
890320,Machadinho D'Oeste - RO,1100130,2021
548734,Nova Brasilândia D'Oeste - RO,1100148,2021
985868,Ouro Preto do Oeste - RO,1100155,2021
1642516,Pimenta Bueno - RO,1100189,2021
20059522,Porto Velho - RO,1100205,2021
559990,Presidente Médici - RO,1100254,2021
184430,Rio Crespo - RO,1100262,2021
1565194,Rolim de Moura - RO,1100288,2021
213556,Santa Luzia D'Oeste - RO,1100296,2021
4215046,Vilhena - RO,1100304,2021
905335,São Miguel do Guaporé - RO,1100320,2021
742687,Nova Mamoré - RO,1100338,2021
352628,Alvorada D'Oeste - RO,1100346,2021
483672,Alto Alegre dos Parecis - RO,1100379,2021
510361,Alto Paraíso - RO,1100403,2021
966552,Buritis - RO,1100452,2021
231502,Novo Horizonte do Oeste - RO,1100502,2021
275338,Cacaulândia - RO,1100601,2021
369377,Campo Novo de Rondônia - RO,1100700,2021
655606,Candeias do Jamari - RO,1100809,2021
99627,Castanheiras - RO,1100908,2021
468793,Chupinguaia - RO,1100924,2021
487480,Cujubim - RO,1100940,2021
239330,Governador Jorge Teixeira - RO,1101005,2021
210031,Itapuã do Oeste - RO,1101104,2021
297878,Ministro Andreazza - RO,1101203,2021
262640,Mirante da Serra - RO,1101302,2021
389891,Monte Negro - RO,1101401,2021
157321,Nova União - RO,1101435,2021
155434,Parecis - RO,1101450,2021
246209,Pimenteiras do Oeste - RO,1101468,2021
107030,Primavera de Rondônia - RO,1101476,2021
130676,São Felipe D'Oeste - RO,1101484,2021
488043,São Francisco do Guaporé - RO,1101492,2021
332987,Seringueiras - RO,1101500,2021
121301,Teixeirópolis - RO,1101559,2021
257426,Theobroma - RO,1101609,2021
273501,Urupá - RO,1101708,2021
220588,Vale do Anari - RO,1101757,2021
185648,Vale do Paraíso - RO,1101807,2021
398725,Acrelândia - AC,1200013,2021
133916,Assis Brasil - AC,1200054,2021
685636,Brasiléia - AC,1200104,2021
300830,Bujari - AC,1200138,2021
512353,Capixaba - AC,1200179,2021
2058630,Cruzeiro do Sul - AC,1200203,2021
644542,Epitaciolândia - AC,1200252,2021
567040,Feijó - AC,1200302,2021
113975,Jordão - AC,1200328,2021
269205,Mâncio Lima - AC,1200336,2021
184904,Manoel Urbano - AC,1200344,2021
256865,Marechal Thaumaturgo - AC,1200351,2021
601471,Plácido de Castro - AC,1200385,2021
160535,Porto Walter - AC,1200393,2021
10955675,Rio Branco - AC,1200401,2021
255649,Rodrigues Alves - AC,1200427,2021
108545,Santa Rosa do Purus - AC,1200435,2021
