populacao,municipio,cod_mun,ano
22516,Alta Floresta D'Oeste,1100015,2021
111148,Ariquemes,1100023,2021
5067,Cabixi,1100031,2021
86416,Cacoal,1100049,2021
16088,Cerejeiras,1100056,2021
15213,Colorado do Oeste,1100064,2021
7052,Corumbiara,1100072,2021
19255,Costa Marques,1100080,2021
33009,Espigão D'Oeste,1100098,2021
46930,Guajará,1100106,2021
51469,Jaru,1100114,2021
131026,Ji,1100122,2021
41724,Machadinho D'Oeste,1100130,2021
20504,Nova Brasilândia D'Oeste,1100148,2021
35445,Ouro Preto do Oeste,1100155,2021
37098,Pimenta Bueno,1100189,2021
548952,Porto Velho,1100205,2021
18165,Presidente Médici,1100254,2021
3843,Rio Crespo,1100262,2021
55748,Rolim de Moura,1100288,2021
5942,Santa Luzia D'Oeste,1100296,2021
104517,Vilhena,1100304,2021
23147,São Miguel do Guaporé,1100320,2021
32184,Nova Mamoré,1100338,2021
13807,Alvorada D'Oeste,1100346,2021
13268,Alto Alegre dos Parecis,1100379,2021
22258,Alto Paraíso,1100403,2021
41043,Buritis,1100452,2021
8125,Novo Horizonte do Oeste,1100502,2021
6307,Cacaulândia,1100601,2021
14391,Campo Novo de Rondônia,1100700,2021
28068,Candeias do Jamari,1100809,2021
2923,Castanheiras,1100908,2021
11755,Chupinguaia,1100924,2021
27131,Cujubim,1100940,2021
7130,Governador Jorge Teixeira,1101005,2021
10819,Itapuã do Oeste,1101104,2021
9461,Ministro Andreazza,1101203,2021
10691,Mirante da Serra,1101302,2021
16158,Monte Negro,1101401,2021
6822,Nova União,1101435,2021
6319,Parecis,1101450,2021
2127,Pimenteiras do Oeste,1101468,2021
2697,Primavera de Rondônia,1101476,2021
4962,São Felipe D'Oeste,1101484,2021
21088,São Francisco do Guaporé,1101492,2021
11846,Seringueiras,1101500,2021
4160,Teixeirópolis,1101559,2021
10348,Theobroma,1101609,2021
11081,Urupá,1101708,2021
11545,Vale do Anari,1101757,2021
6490,Vale do Paraíso,1101807,2021
15721,Acrelândia,1200013,2021
7649,Assis Brasil,1200054,2021
27123,Brasiléia,1200104,2021
10572,Bujari,1200138,2021
12280,Capixaba,1200179,2021
89760,Cruzeiro do Sul,1200203,2021
18979,Epitaciolândia,1200252,2021
34986,Feijó,1200302,2021
8628,Jordão,1200328,2021
19643,Mâncio Lima,1200336,2021
9701,Manoel Urbano,1200344,2021
19727,Marechal Thaumaturgo,1200351,2021
20147,Plácido de Castro,1200385,2021
12497,Porto Walter,1200393,2021
419452,Rio Branco,1200401,2021
19767,Rodrigues Alves,1200427,2021
6893,Santa Rosa do Purus,1200435,2021
23446,Senador Guiomard,1200450,2021
47168,Sena Madureira,1200500,2021
43730,Tarauacá,1200609,2021
19866,Xapuri,1200708,2021
19141,Porto Acre,1200807,2021
16396,Alvarães,1300029,2021
11934,Amaturá,1300060,2021
14292,Anamã,1300086,2021
21937,Anori,1300102,2021
22739,Apuí,1300144,2021
20868,Atalaia do Norte,1300201,2021
41005,Autazes,1300300,2021
27772,Barcelos,1300409,2021
32919,Barreirinha,1300508,2021
44873,Benjamin Constant,1300607,2021
20503,Beruri,1300631,2021
20040,Boa Vista do Ramos,1300680,2021
34958,Boca do Acre,1300706,2021
42328,Borba,1300805,2021
13482,Caapiranga,1300839,2021
15981,Canutama,1300904,2021
28719,Carauari,1301001,2021
38820,Careiro,1301100,2021
31459,Careiro da Várzea,1301159,2021
86713,Coari,1301209,2021
29691,Codajás,1301308,2021
36121,Eirunepé,1301407,2021
20748,Envira,1301506,2021
16409,Fonte Boa,1301605,2021
17193,Guajará,1301654,2021
57195,Humaitá,1301704,2021
31172,Ipixuna,1301803,2021
49718,Iranduba,1301852,2021
104046,Itacoatiara,1301902,2021
7777,Itamarati,1301951,2021
9312,Itapiranga,1302009,2021
1755,Japurá,1302108,2021
15495,Juruá,1302207,2021
13462,Jutaí,1302306,2021
47685,Lábrea,1302405,2021
99613,Manacapuru,1302504,2021
33981,Manaquiri,1302553,2021
2255903,Manaus,1302603,2021
57405,Manicoré,1302702,2021
18298,Maraã,1302801,2021
66159,Maués,1302900,2021
21710,Nhamundá,1303007,2021
38665,Nova Olinda do Norte,1303106,2021
20395,Novo Airão,1303205,2021
26443,Novo Aripuanã,1303304,2021
116439,Parintins,1303403,2021
19616,Pauini,1303502,2021
38095,Presidente Figueiredo,1303536,2021
34856,Rio Preto da Eva,1303569,2021
26566,Santa Isabel do Rio Negro,1303601,2021
20889,Santo Antônio do Içá,1303700,2021
47031,São Gabriel da Cachoeira,1303809,2021
40837,São Paulo de Olivença,1303908,2021
14678,São Sebastião do Uatumã,1303957,2021
9289,Silves,1304005,2021
68502,Tabatinga,1304062,2021
16876,Tapauá,1304104,2021
59250,Tefé,1304203,2021
19038,Tonantins,1304237,2021
13839,Uarini,1304260,2021
16007,Urucará,1304302,2021
24098,Urucurituba,1304401,2021
13561,Amajari,1400027,2021
15249,Alto Alegre,1400050,2021
436591,Boa Vista,1400100,2021
12701,Bonfim,1400159,2021
19257,Cantá,1400175,2021
22635,Caracaraí,1400209,2021
10595,Caroebe,1400233,2021
12637,Iracema,1400282,2021
18482,Mucajaí,1400308,2021
11772,Normandia,1400407,2021
20108,Pacaraima,1400456,2021
31387,Rorainópolis,1400472,2021
8492,São João da Baliza,1400506,2021
8232,São Luiz,1400605,2021
11014,Uiramutã,1400704,2021
160439,Abaetetuba,1500107,2021
7536,Abel Figueiredo,1500131,2021
55744,Acará,1500206,2021
39910,Afuá,1500305,2021
27797,Água Azul do Norte,1500347,2021
57390,Alenquer,1500404,2021
34044,Almeirim,1500503,2021
117320,Altamira,1500602,2021
30091,Anajás,1500701,2021
540410,Ananindeua,1500800,2021
29312,Anapu,1500859,2021
46937,Augusto Corrêa,1500909,2021
32200,Aurora do Pará,1500958,2021
16421,Aveiro,1501006,2021
31967,Bagre,1501105,2021
49454,Baião,1501204,2021
3239,Bannach,1501253,2021
129333,Barcarena,1501303,2021
1506420,Belém,1501402,2021
17944,Belterra,1501451,2021
64780,Benevides,1501501,2021
17254,Bom Jesus do Tocantins,1501576,2021
16769,Bonito,1501600,2021
130122,Bragança,1501709,2021
14883,Brasil Novo,1501725,2021
7357,Brejo Grande do Araguaia,1501758,2021
