cod_municipio,qtd_estabelecimentos,total_leitos
430003,144,672
430005,184,0
430010,732,1152
430020,384,468
430030,192,600
430040,4666,3084
430045,304,0
430047,144,0
430050,318,360
430055,168,0
430057,98,0
430060,2462,1518
430063,144,0
430064,258,448
430066,96,0
430070,486,768
430080,1358,936
430085,250,0
430087,120,0
430090,190,512
430100,1388,1158
430105,460,0
430107,96,0
430110,516,0
430120,752,1344
430130,612,744
430140,558,960
430150,406,970
430155,192,0
430160,7014,4814
430163,520,0
430165,240,0
430170,300,0
430175,144,0
430180,290,0
430185,96,0
430187,140,0
430190,456,2
430192,96,0
430195,120,0
430200,566,0
430205,144,0
430210,9090,5896
430215,144,0
430220,772,768
430222,140,0
430223,48,0
430225,120,0
430230,730,648
430235,824,792
430237,72,0
430240,680,832
430245,376,658
430250,408,0
430258,96,0
430260,192,648
430265,264,0
430270,924,744
430280,1078,1296
430290,640,672
430300,6392,3792
430310,5096,1632
430320,292,0
430330,346,624
430340,358,504
430350,10812,1796
430355,192,0
430360,240,528
430367,144,0
430370,508,744
430380,238,864
430390,3062,1696
430400,144,624
430410,256,0
430420,1266,1488
430430,374,696
430435,568,0
430440,1814,898
430450,1818,1944
430460,17284,20280
430461,120,0
430462,122,0
430463,3244,1860
430465,120,0
430466,410,0
430467,178,0
430468,284,0
430469,96,0
430470,7084,2520
430471,144,0
430480,2174,1272
430485,72,0
430490,1006,578
430495,120,0
430500,246,0
430510,35176,23968
430511,120,0
430512,144,0
430513,178,0
430515,144,0
430517,532,0
430520,1546,792
430530,552,1032
430535,2226,1344
430537,144,0
430540,298,528
430543,182,0
430544,240,0
430545,402,0
430550,244,0
430558,120,0
430560,120,0
430570,226,418
430580,384,336
430583,72,0
430585,144,0
430587,144,0
430590,408,624
430593,48,0
430595,144,0
430597,48,0
430600,674,1048
430605,584,0
430607,144,0
430610,5430,5528
430613,72,0
430620,384,192
430630,224,696
430632,156,0
430635,120,0
430637,144,0
430640,2752,960
430642,72,0
430645,346,912
430650,560,480
430655,60,0
430660,2314,2160
430670,110,0
430673,232,0
430675,104,0
430676,870,0
430680,3264,1166
430690,1100,968
430692,116,0
430693,332,0
430695,260,0
430697,72,0
430700,11000,6478
430705,96,0
430710,374,816
430720,120,0
430730,264,0
430740,102,0
430745,96,0
430750,1284,1106
430755,376,696
430760,2054,870
430770,5014,3228
430780,2860,2188
430781,216,0
430783,144,0
430786,130,0
430790,4520,2764
430800,560,1436
430805,72,0
430807,210,0
430810,480,1032
430820,4106,904
430825,96,0
430830,258,0
430840,312,332
430843,48,0
430845,284,384
430850,3816,2214
430860,3368,1276
430865,312,0
430870,528,672
430880,264,0
430885,96,0
430890,1316,1152
430900,1252,504
430905,166,0
430910,5660,1808
430912,120,0
430915,144,0
430920,11074,4012
430925,152,66
430930,3482,1998
430940,3172,1248
430950,562,720
430955,264,0
430957,82,0
430960,1524,1442
430965,96,0
430970,312,744
430975,168,0
430980,216,0
430990,284,0
430995,154,0
431000,2836,768
431010,2322,1244
431020,8526,8410
431030,340,696
431033,792,0
431036,178,0
431040,468,0
431041,168,0
431043,216,0
431046,44,0
431050,312,984
431053,192,0
431055,62,0
431057,96,0
431060,1706,1032
431065,120,0
431070,216,240
431075,144,168
431080,1264,1024
431085,216,744
431087,48,0
431090,116,0
431100,1284,1248
431110,608,864
431112,206,192
431113,120,0
431115,208,18
431120,1168,888
431123,48,0
431125,120,0
431127,96,0
431130,2352,1256
431140,11332,3716
431142,96,0
431150,432,480
431160,240,0
431162,188,0
431164,72,0
431170,416,0
431171,196,0
431173,170,0
431175,178,0
431177,176,0
431179,206,0
431180,4676,1778
431190,288,1176
431198,96,0
431200,94,220
431205,352,804
431210,272,456
431213,48,0
431215,156,0
431217,120,0
431220,288,600
431225,192,0
431230,168,0
431235,144,0
431237,96,0
431238,144,0
431240,6422,4218
431242,216,0
431244,166,0
431245,326,0
431247,192,0
431250,478,432
431260,366,432
431261,72,0
431262,142,0
431265,1592,912
431267,72,0
431270,528,1152
431275,120,0
431280,328,0
431290,824,864
431295,120,0
431300,274,768
431301,168,0
431303,158,0
431306,444,0
431308,72,0
431310,426,720
431320,2234,680
431330,4450,1248
431333,164,0
431335,96,0
431337,812,0
431339,192,0
431340,14120,10604
431342,216,0
