cod_municipio,municipio,ano,populacao,pib,pib_per_capita
110001,Alta Floresta D'Oeste,2023,22787,1046343,45.91841839645412
110002,Ariquemes,2023,109170,4383815,40.15585783640194
110003,Cabixi,2023,5664,300832,53.112994350282484
110004,Cacoal,2023,98280,3848468,39.15820105820106
110005,Cerejeiras,2023,16966,1006389,59.317988919014496
110006,Colorado do Oeste,2023,16508,580899,35.18893869638963
110007,Corumbiara,2023,7968,509566,63.9515562248996
110008,Costa Marques,2023,13510,413943,30.63974833456699
110009,Espigão D'Oeste,2023,32842,1023973,31.178764996041654
110010,Guajará,2023,43594,1145034,26.265862274624947
110011,Jaru,2023,55682,2515558,45.17722064581014
110012,Ji,2023,140101,5824472,41.573379205002105
110013,Machadinho D'Oeste,2023,34149,1055806,30.917625699141997
110014,Nova Brasilândia D'Oeste,2023,16374,731952,44.702088677171126
110015,Ouro Preto do Oeste,2023,38684,1275479,32.97174542446489
110018,Pimenta Bueno,2023,39220,2124340,54.164711881693016
110020,Porto Velho,2023,517709,25402193,49.06654703704204
110025,Presidente Médici,2023,20443,776281,37.97294917575698
110026,Rio Crespo,2023,3767,265160,70.390230953013
110028,Rolim de Moura,2023,62959,2287631,36.33524992455408
110029,Santa Luzia D'Oeste,2023,7837,291887,37.244736506316194
110030,Vilhena,2023,109651,5115785,46.65516046365286
110032,São Miguel do Guaporé,2023,22305,1549192,69.45492042143017
110033,Nova Mamoré,2023,28701,1060566,36.95223162955995
110034,Alvorada D'Oeste,2023,13720,486626,35.46836734693878
110037,Alto Alegre dos Parecis,2023,12237,575129,46.99918280624336
110040,Alto Paraíso,2023,17467,667923,38.23913665769737
110045,Buritis,2023,30649,1221008,39.83842865998891
110050,Novo Horizonte do Oeste,2023,7972,331958,41.64049172102358
110060,Cacaulândia,2023,4292,238989,55.682432432432435
110070,Campo Novo de Rondônia,2023,9095,455251,50.055085211654756
110080,Candeias do Jamari,2023,24313,1001610,41.19647924978407
110090,Castanheiras,2023,3450,138594,40.17217391304348
110092,Chupinguaia,2023,10191,673990,66.13580610342458
110094,Cujubim,2023,15877,582148,36.666120803678275
110100,Governador Jorge Teixeira,2023,8340,320123,38.38405275779377
110110,Itapuã do Oeste,2023,9228,340162,36.861941915908105
110120,Ministro Andreazza,2023,6519,440282,67.53827274121798
110130,Mirante da Serra,2023,9657,380179,39.36823029926478
110140,Monte Negro,2023,12168,526990,43.3095003287311
110143,Nova União,2023,6541,193557,29.591346888854915
110145,Parecis,2023,4372,201510,46.09103385178408
110146,Pimenteiras do Oeste,2023,2309,355185,153.8263317453443
