NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
6,Município,40,Mil Reais,1046343,1100015,Alta Floresta D'Oeste - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,4383815,1100023,Ariquemes - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,300832,1100031,Cabixi - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,3848468,1100049,Cacoal - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1006389,1100056,Cerejeiras - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,580899,1100064,Colorado do Oeste - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,509566,1100072,Corumbiara - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,413943,1100080,Costa Marques - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1023973,1100098,Espigão D'Oeste - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1145034,1100106,Guajará-Mirim - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,2515558,1100114,Jaru - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,5824472,1100122,Ji-Paraná - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1055806,1100130,Machadinho D'Oeste - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,731952,1100148,Nova Brasilândia D'Oeste - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1275479,1100155,Ouro Preto do Oeste - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,2124340,1100189,Pimenta Bueno - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,25402193,1100205,Porto Velho - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,776281,1100254,Presidente Médici - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,265160,1100262,Rio Crespo - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,2287631,1100288,Rolim de Moura - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,291887,1100296,Santa Luzia D'Oeste - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,5115785,1100304,Vilhena - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1549192,1100320,São Miguel do Guaporé - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1060566,1100338,Nova Mamoré - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,486626,1100346,Alvorada D'Oeste - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,575129,1100379,Alto Alegre dos Parecis - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,667923,1100403,Alto Paraíso - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1221008,1100452,Buritis - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,331958,1100502,Novo Horizonte do Oeste - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,238989,1100601,Cacaulândia - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,455251,1100700,Campo Novo de Rondônia - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1001610,1100809,Candeias do Jamari - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,138594,1100908,Castanheiras - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,673990,1100924,Chupinguaia - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,582148,1100940,Cujubim - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,320123,1101005,Governador Jorge Teixeira - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,340162,1101104,Itapuã do Oeste - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,440282,1101203,Ministro Andreazza - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,380179,1101302,Mirante da Serra - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,526990,1101401,Monte Negro - RO,2023,2023,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,193557,1101435,Nova União - RO,2023,2023,37,Produto Interno Bruto a preços correntes
