NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
6,Município,40,Mil Reais,734469,1100015,Alta Floresta D'Oeste - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,3209761,1100023,Ariquemes - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,238412,1100031,Cabixi - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,2792383,1100049,Cacoal - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,743037,1100056,Cerejeiras - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,424807,1100064,Colorado do Oeste - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,396728,1100072,Corumbiara - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,316671,1100080,Costa Marques - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,773381,1100098,Espigão D'Oeste - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1054179,1100106,Guajará-Mirim - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1765089,1100114,Jaru - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,4231113,1100122,Ji-Paraná - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,890320,1100130,Machadinho D'Oeste - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,548734,1100148,Nova Brasilândia D'Oeste - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,985868,1100155,Ouro Preto do Oeste - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1642516,1100189,Pimenta Bueno - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,20059522,1100205,Porto Velho - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,559990,1100254,Presidente Médici - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,184430,1100262,Rio Crespo - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1565194,1100288,Rolim de Moura - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,213556,1100296,Santa Luzia D'Oeste - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,4215046,1100304,Vilhena - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,905335,1100320,São Miguel do Guaporé - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,742687,1100338,Nova Mamoré - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,352628,1100346,Alvorada D'Oeste - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,483672,1100379,Alto Alegre dos Parecis - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,510361,1100403,Alto Paraíso - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,966552,1100452,Buritis - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,231502,1100502,Novo Horizonte do Oeste - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,275338,1100601,Cacaulândia - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,369377,1100700,Campo Novo de Rondônia - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,655606,1100809,Candeias do Jamari - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,99627,1100908,Castanheiras - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,468793,1100924,Chupinguaia - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,487480,1100940,Cujubim - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,239330,1101005,Governador Jorge Teixeira - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,210031,1101104,Itapuã do Oeste - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,297878,1101203,Ministro Andreazza - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,262640,1101302,Mirante da Serra - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,389891,1101401,Monte Negro - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,157321,1101435,Nova União - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,155434,1101450,Parecis - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,246209,1101468,Pimenteiras do Oeste - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,107030,1101476,Primavera de Rondônia - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,130676,1101484,São Felipe D'Oeste - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,488043,1101492,São Francisco do Guaporé - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,332987,1101500,Seringueiras - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,121301,1101559,Teixeirópolis - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,257426,1101609,Theobroma - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,273501,1101708,Urupá - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,220588,1101757,Vale do Anari - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,185648,1101807,Vale do Paraíso - RO,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,398725,1200013,Acrelândia - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,133916,1200054,Assis Brasil - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,685636,1200104,Brasiléia - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,300830,1200138,Bujari - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,512353,1200179,Capixaba - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,2058630,1200203,Cruzeiro do Sul - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,644542,1200252,Epitaciolândia - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,567040,1200302,Feijó - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,113975,1200328,Jordão - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,269205,1200336,Mâncio Lima - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,184904,1200344,Manoel Urbano - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,256865,1200351,Marechal Thaumaturgo - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,601471,1200385,Plácido de Castro - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,160535,1200393,Porto Walter - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,10955675,1200401,Rio Branco - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,255649,1200427,Rodrigues Alves - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,108545,1200435,Santa Rosa do Purus - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,779672,1200450,Senador Guiomard - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,748094,1200500,Sena Madureira - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,711884,1200609,Tarauacá - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,454981,1200708,Xapuri - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,471315,1200807,Porto Acre - AC,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,217333,1300029,Alvarães - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,118872,1300060,Amaturá - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,138599,1300086,Anamã - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,248435,1300102,Anori - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,297810,1300144,Apuí - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,184947,1300201,Atalaia do Norte - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,506341,1300300,Autazes - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,245622,1300409,Barcelos - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,344890,1300508,Barreirinha - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,388781,1300607,Benjamin Constant - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,211871,1300631,Beruri - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,182412,1300680,Boa Vista do Ramos - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,512796,1300706,Boca do Acre - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,402131,1300805,Borba - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,177894,1300839,Caapiranga - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,154316,1300904,Canutama - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,370657,1301001,Carauari - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,395194,1301100,Careiro - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,413374,1301159,Careiro da Várzea - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,3380278,1301209,Coari - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,531995,1301308,Codajás - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,568039,1301407,Eirunepé - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,215527,1301506,Envira - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,222773,1301605,Fonte Boa - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,177320,1301654,Guajará - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,860168,1301704,Humaitá - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,216519,1301803,Ipixuna - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1001862,1301852,Iranduba - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,2350463,1301902,Itacoatiara - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,135620,1301951,Itamarati - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,152509,1302009,Itapiranga - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,85809,1302108,Japurá - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,138074,1302207,Juruá - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,266377,1302306,Jutaí - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,625199,1302405,Lábrea - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1544675,1302504,Manacapuru - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,311335,1302553,Manaquiri - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,103281436,1302603,Manaus - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,686279,1302702,Manicoré - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,176217,1302801,Maraã - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,595827,1302900,Maués - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,207005,1303007,Nhamundá - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,341652,1303106,Nova Olinda do Norte - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,186533,1303205,Novo Airão - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,252422,1303304,Novo Aripuanã - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1426984,1303403,Parintins - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,199541,1303502,Pauini - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1031905,1303536,Presidente Figueiredo - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,407146,1303569,Rio Preto da Eva - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,185817,1303601,Santa Isabel do Rio Negro - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,237314,1303700,Santo Antônio do Içá - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,423054,1303809,São Gabriel da Cachoeira - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,334131,1303908,São Paulo de Olivença - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,136609,1303957,São Sebastião do Uatumã - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,175042,1304005,Silves - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,758036,1304062,Tabatinga - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,239944,1304104,Tapauá - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1098392,1304203,Tefé - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,185410,1304237,Tonantins - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,229209,1304260,Uarini - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,205656,1304302,Urucará - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,232661,1304401,Urucurituba - AM,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,240826,1400027,Amajari - RR,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,385507,1400050,Alto Alegre - RR,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,13493364,1400100,Boa Vista - RR,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,522405,1400159,Bonfim - RR,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,353071,1400175,Cantá - RR,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,453298,1400209,Caracaraí - RR,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,236788,1400233,Caroebe - RR,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,208477,1400282,Iracema - RR,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,393852,1400308,Mucajaí - RR,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,202859,1400407,Normandia - RR,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,329092,1400456,Pacaraima - RR,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,732356,1400472,Rorainópolis - RR,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,327768,1400506,São João da Baliza - RR,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,178972,1400605,São Luiz - RR,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,143945,1400704,Uiramutã - RR,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1949341,1500107,Abaetetuba - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,105496,1500131,Abel Figueiredo - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1433440,1500206,Acará - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,444236,1500305,Afuá - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,643132,1500347,Água Azul do Norte - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,745403,1500404,Alenquer - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,688370,1500503,Almeirim - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,3120219,1500602,Altamira - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,259020,1500701,Anajás - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,8939830,1500800,Ananindeua - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,588032,1500859,Anapu - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,363771,1500909,Augusto Corrêa - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,308633,1500958,Aurora do Pará - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,151969,1501006,Aveiro - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,250548,1501105,Bagre - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,562147,1501204,Baião - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,129007,1501253,Bannach - PA,2021,2021,37,Produto Interno Bruto a preços correntes
