NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
6,Município,45,Pessoas,22787,1100015,Alta Floresta D'Oeste - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,109170,1100023,Ariquemes - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,5664,1100031,Cabixi - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,98280,1100049,Cacoal - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,16966,1100056,Cerejeiras - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,16508,1100064,Colorado do Oeste - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,7968,1100072,Corumbiara - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,13510,1100080,Costa Marques - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,32842,1100098,Espigão D'Oeste - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,43594,1100106,Guajará-Mirim - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,55682,1100114,Jaru - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,140101,1100122,Ji-Paraná - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,34149,1100130,Machadinho D'Oeste - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,16374,1100148,Nova Brasilândia D'Oeste - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,38684,1100155,Ouro Preto do Oeste - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,39220,1100189,Pimenta Bueno - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,517709,1100205,Porto Velho - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,20443,1100254,Presidente Médici - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,3767,1100262,Rio Crespo - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,62959,1100288,Rolim de Moura - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,7837,1100296,Santa Luzia D'Oeste - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,109651,1100304,Vilhena - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,22305,1100320,São Miguel do Guaporé - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,28701,1100338,Nova Mamoré - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,13720,1100346,Alvorada D'Oeste - RO,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,12237,1100379,Alto Alegre dos Parecis - RO,2025,2025,9324,População residente estimada
